Category: All categories

Week,machine learning: (Worldwide)
2016-12-04,63
2016-12-11,59
2016-12-18,54
2016-12-25,44
2017-01-01,56
2017-01-08,62
2017-01-15,63
2017-01-22,63
2017-01-29,65
2017-02-05,66
2017-02-12,67
2017-02-19,69
2017-02-26,72
2017-03-05,71
2017-03-12,73
2017-03-19,73
2017-03-26,76
2017-04-02,75
2017-04-09,76
2017-04-16,74
2017-04-23,76
2017-04-30,73
2017-05-07,77
2017-05-14,79
2017-05-21,80
2017-05-28,75
2017-06-04,79
2017-06-11,79
2017-06-18,81
2017-06-25,76
2017-07-02,72
2017-07-09,77
2017-07-16,80
2017-07-23,78
2017-07-30,81
2017-08-06,78
2017-08-13,75
2017-08-20,77
2017-08-27,78
2017-09-03,82
2017-09-10,91
2017-09-17,89
2017-09-24,86
2017-10-01,88
2017-10-08,93
2017-10-15,89
2017-10-22,98
2017-10-29,97
2017-11-05,99
2017-11-12,95
2017-11-19,89
2017-11-26,100
